name;WoSline;author;title;journal;year
CARBERRY_E(2019)58:1083;4;Carberry, EJ; Social Movements as Catalysts for Corporate Social Innovation: Environmental Activism and the Adoption of green_information_system;BUS SOC;2019
SUMARI_N(2019)43:224;200;Sumari, NS; Status of geoinformatics education and training in Sub-Saharan Africa: initiatives taken and challenges;J GEOGR HIGHER EDUC;2019
MOSAVI_A(2019)12:en12071301;347;Mosavi, A; State of the Art of Machine Learning Models in Energy Systems, a Systematic Review;ENERGIES;2019
ANTHONY_B(2019)26:1033;530;Anthony, B; green_information_system integration for environmental performance in organizations: An extension of belief-action-outcome framework and natural resource-based view theory;BENCHMARKING;2019
DINEVA_A(2019)12:en12061049;683;Dineva, A; Review of Soft Computing Models in Design and Control of Rotating Electrical Machines;ENERGIES;2019
BAGGIA_A(2019)11:su11061575;858;Baggia, A; Drivers and Outcomes of Green_IS Adoption in Small and Medium-Sized Enterprises;SUSTAINABILITY-BASEL;2019
JUNG_E(2019)32:16;1007;Jung, E; Service-oriented architecture of environmental information_system to forecast the impacts of natural disasters in South Korea;J ENTERP INF MANAG;2019
DALVI-ES_M(2019)16:S0219877019500081;1088;Dalvi-Esfahani, M; Moderating Effects of Demographics on green_information_system Adoption;INT J INNOV TECHNOL;2019
GROSSE_M(2019)11:su11030857;1225;Grosse, M; Lessons Learned from Establishing the Energy-Informatics Business Model: Case of a German Energy Company;SUSTAINABILITY-BASEL;2019
AGGESTAM_F(2019)92:124;1341;Aggestam, F; Setting the stage for a Shared environmental_information_system;ENVIRON SCI POLICY;2019
OYOSHI_K(2019)14:103;1432;Oyoshi, K; Japan Aerospace Exploration Agency's public-health monitoring and analysis platform: A satellite-derived environmental_information_system supporting epidemiological study;GEOSPATIAL HEALTH;2019
ANTHONY_B(2019)26:127;1524;Anthony, B; Case based reasoning for green_information_system infusion and assimilation among IT professionals in university campuses;SCI IRAN;2019
MANNOCCI_A(2019):2058467;1623;Mannocci, A; Socioeconomic Deprivation Status and Air Pollution by PM10 and NO2: An Assessment at Municipal Level of 11 Years in Italy;J ENVIRON PUBLIC HEA;2019
GARCIA-M_G(2019)865:3;1706;Garcia-Mireles, GA; Extending ISO/IEC 29110 with Sustainability Tasks;ADV INTELL SYST;2019
PALOMBA_F(2019)105:43;1783;Palomba, F; On the impact of code smells on the energy consumption of mobile applications;INFORM SOFTWARE TECH;2019
